Condition,Time,Row,Column,Sample,AC,BA,BC,BF,BH,BL,BO,BP,BT,BU,BV,BY,CA,CC,CD,CG,CH,CS,DF,DL,DP,EH,EL,ER,Escherichia_coli,FP,HB,OD600,PC,PJ,RI,Total,Unclassified
CD DP 50,78.5,F,11,P07F11,0,0,0,0,0,0,0,0,2,0,0,0,2,0,11195,0,0,0,0,0,1104,0,0,0,0,1,0,0.4372,1,0,0,12306,1
CD DP 50,78.5,H,11,P07H11,0,0,0,0,0,0,0,0,2,1,0,0,1,0,9213,0,1,0,0,0,826,0,0,0,0,1,0,0.4268,1,0,0,10047,1
CD ER 10,78.5,C,6,P07C06,0,0,0,0,0,0,3,0,2,1,0,0,0,0,4474,0,0,0,0,0,0,0,0,10006,0,0,0,0.3436,0,0,0,14490,4
CD ER 10,78.5,D,6,P07D06,0,0,0,0,0,0,4,0,3,2,0,0,0,0,5095,0,0,0,0,0,0,0,0,9902,0,0,0,0.3436,0,0,0,15009,3
CD ER 10,78.5,E,6,P07E06,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4508,0,0,0,0,0,0,0,0,10246,0,0,0,0.3624,0,0,0,14762,5
CD ER 50,78.5,F,6,P07F06,0,1,0,0,1,0,1,0,1,0,0,0,0,0,4134,0,0,0,0,0,0,0,0,10541,0,0,0,0.3992,0,0,0,14685,6
CD ER 50,78.5,G,6,P07G06,0,0,0,0,2,0,1,0,1,0,2,0,0,0,3522,0,0,0,0,0,0,0,0,9135,0,0,0,0.4148,0,0,0,12666,3
CD ER 50,78.5,H,6,P07H06,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3442,0,0,0,0,0,0,0,0,8652,0,0,0,0.3776,0,0,0,12102,3
CD FP 50,78.5,F,10,P07F10,0,0,0,0,0,0,5,0,0,0,1,0,0,0,11723,0,0,0,0,0,0,0,145,0,0,215,0,0.3612,0,0,0,12089,0
CD FP 50,78.5,H,10,P07H10,0,0,0,0,0,0,2,0,1,0,0,0,2,0,11860,0,0,0,0,0,0,0,0,1,0,204,0,0.368,0,0,0,12071,1
CD PC 10,78.5,D,7,P07D07,0,0,0,0,0,0,1,0,3,0,6,0,0,0,10221,0,0,0,0,0,428,0,0,4,0,0,0,0.4052,1617,0,0,12282,2
CD PC 50,78.5,G,7,P07G07,0,0,0,0,0,0,2,0,1,0,1,0,0,0,10656,0,0,0,0,0,0,0,0,2,0,0,0,0.4372,262,0,0,10925,1
CD BH 10,104.5,C,8,P08C08,0,0,1,0,5883,0,3,0,1,0,0,0,0,0,8072,0,0,0,0,0,0,0,0,1,0,0,0,0.5584,0,0,0,13984,23
CD BH 10,104.5,D,8,P08D08,0,0,0,0,1380,0,2,0,2,1,345,0,0,0,8171,0,0,0,0,0,0,0,0,15,0,0,0,0.0152,0,0,0,9946,30
CD BH 10,104.5,E,8,P08E08,0,0,0,0,5051,0,3,0,4,0,1,0,0,0,9727,0,0,1,0,0,0,0,0,48,0,1,0,0.884,0,0,0,14842,6
CD BH 50,104.5,F,8,P08F08,0,0,0,0,7917,0,4,0,3,0,2,0,0,0,6261,0,0,0,0,0,0,0,0,40,1,1,0,0.4216,0,0,0,14243,14
CD BH 50,104.5,G,8,P08G08,0,0,0,0,7267,0,0,0,1,1,1,0,0,0,4663,0,0,0,0,0,0,0,0,2,1,0,0,0.3852,0,0,0,11957,21
CD BH 50,104.5,H,8,P08H08,0,0,0,0,5821,0,0,0,1,1,0,0,0,0,3149,0,0,0,0,0,1,0,0,1,0,0,0,0.566,0,0,0,8987,13
CD BO 10,104.5,C,3,P08C03,0,1,0,0,0,0,12929,0,2,1,2,1,0,0,440,0,0,1,0,0,0,0,0,0,0,0,0,0.534,0,0,0,13377,0
CD BO 10,104.5,D,3,P08D03,0,0,1,0,0,0,18060,0,0,1,0,0,0,0,718,0,0,0,0,0,1,0,0,0,0,0,0,0.514,0,0,0,18781,0
CD BO 10,104.5,E,3,P08E03,0,0,0,0,0,0,13525,0,1,2,0,0,0,0,348,0,0,0,0,0,0,0,0,2,0,0,0,0.5632,0,0,0,13878,0
CD BO 50,104.5,F,3,P08F03,0,0,1,0,0,0,12233,0,0,1,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0.5096,0,0,0,12710,0
CD BO 50,104.5,G,3,P08G03,0,0,1,0,0,0,12231,0,14,0,0,0,0,0,411,0,0,0,0,0,0,0,0,1,0,0,0,0.5292,0,0,0,12658,0
CD BO 50,104.5,H,3,P08H03,0,0,0,0,0,0,8790,0,2,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0.5484,0,1,0,9190,0
CD BT 10,104.5,C,2,P08C02,0,1,0,0,0,0,2,0,12301,0,1,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0.5384,0,0,0,12509,1
CD BT 10,104.5,D,2,P08D02,0,0,0,0,0,0,0,0,13460,2,1,0,0,0,294,0,0,0,0,0,0,0,1,0,1,0,0,0.528,0,0,0,13762,3
CD BT 10,104.5,E,2,P08E02,0,0,0,0,0,0,0,0,12904,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,1,0,0.5484,0,0,0,13200,7
CD BT 50,104.5,F,2,P08F02,0,0,0,0,0,0,4,0,16286,1,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0.5528,0,0,0,16802,6
CD BT 50,104.5,G,2,P08G02,0,0,0,0,0,0,5,0,11235,5,0,0,0,0,378,0,0,0,0,0,0,0,0,1,0,0,0,0.58,0,0,0,11625,1
CD BT 50,104.5,H,2,P08H02,0,0,0,0,0,0,1,0,8748,0,0,0,0,0,381,0,0,0,0,0,0,0,0,2,0,0,0,0.5644,0,0,0,9132,0
CD BU 10,104.5,D,1,P08D01,0,1,0,0,0,0,20,0,0,12310,0,0,0,0,4542,0,0,0,0,0,0,0,0,0,0,0,1,0.6272,0,0,0,16897,23
CD BU 10,104.5,E,1,P08E01,0,1,0,0,0,0,1,0,0,12241,0,0,0,0,5572,0,0,0,0,0,0,0,1,1,0,0,0,0.6492,0,0,0,17826,9
CD BU 50,104.5,F,1,P08F01,0,0,0,0,1,0,1,0,3,10834,0,0,0,0,4926,0,0,0,0,0,0,0,0,1,0,0,0,0.7328,0,0,0,15780,14
CD BU 50,104.5,G,1,P08G01,0,0,0,0,1,0,0,0,1,13904,0,0,0,0,6314,0,0,0,0,0,0,0,0,0,3,0,0,0.59,0,0,0,20254,31
CD BU 50,104.5,H,1,P08H01,0,0,0,0,0,0,1,0,1,8428,0,0,0,0,4142,0,0,0,0,0,0,0,0,2,0,0,0,0.6516,0,0,0,12588,14
CD BV 10,104.5,B,7,P08B07,0,0,0,0,0,0,1,0,3,0,9248,0,0,0,4386,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0,0,0,13641,3
CD BV 10,104.5,B,8,P08B08,0,0,0,0,2,0,0,0,0,0,9383,0,0,0,5041,0,0,0,0,0,0,0,0,2,0,0,0,1.1084,0,0,0,14431,3
CD BV 10,104.5,B,9,P08B09,0,0,0,0,0,0,0,0,1,0,8354,0,0,0,4635,0,0,0,0,0,0,0,0,0,0,0,0,0.8208,0,0,0,12996,6
CD BV 50,104.5,B,10,P08B10,0,0,0,0,0,0,0,0,0,0,8441,0,1,0,5042,0,0,0,0,0,0,0,0,151,0,0,1,0.8072,0,0,0,13639,3
CD BV 50,104.5,B,11,P08B11,0,0,0,0,0,0,0,0,0,0,7778,0,0,0,4352,0,0,0,0,0,0,0,0,0,0,0,0,0.7208,0,0,0,12136,6
CD BV 50,104.5,B,12,P08B12,0,0,0,0,0,0,0,0,1,0,4849,0,0,0,2094,0,0,1,0,0,0,0,0,0,0,0,0,0.8028,0,0,0,6946,1
CD CH 10,104.5,D,4,P08D04,0,0,0,0,0,0,1,0,0,2,1,0,0,0,7922,0,448,6,0,0,0,0,0,2,1,0,0,0.474,0,0,0,8392,9
CD CH 50,104.5,F,4,P08F04,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5070,0,98,0,0,0,0,0,0,1,0,0,0,0.346,0,0,0,5173,0
CD CH 50,104.5,G,4,P08G04,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10557,0,231,0,0,0,2,0,0,1,0,0,0,0.468,0,0,0,10813,7
CD CH 50,104.5,H,4,P08H04,0,0,0,0,1,0,1,0,1,1,1,0,0,0,10616,0,166,0,0,0,0,0,2,4,1,0,0,0.3696,0,0,0,10801,7
CD CS 10,104.5,D,12,P08D12,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1653,0,0,88,0,0,0,0,0,1,0,0,0,0.404,0,0,0,1747,1
CD CS 10,104.5,E,12,P08E12,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3497,0,0,422,0,0,0,0,0,0,0,0,0,0.4092,0,0,0,3923,0
CD CS 50,104.5,F,12,P08F12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3293,0,0,361,0,0,1,0,0,2,0,0,0,0.4208,0,0,0,3659,1
CD CS 50,104.5,G,12,P08G12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6271,0,0,486,0,0,0,0,0,1,0,0,0,0.3652,0,0,0,6762,4
CD CS 50,104.5,H,12,P08H12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4054,0,0,551,0,0,1,0,0,1,0,0,0,0.3644,0,0,0,4609,1
CD DP 10,104.5,C,11,P08C11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6922,0,0,0,0,0,541,0,0,0,0,0,0,0.4844,0,0,0,7468,5
CD DP 10,104.5,D,11,P08D11,0,0,0,0,0,0,0,0,1,1,4,0,1,0,3988,0,0,0,0,0,60,0,0,0,0,0,0,0.02,0,0,0,4056,1
CD DP 10,104.5,E,11,P08E11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10179,0,0,0,0,0,1049,0,0,0,0,0,0,0.02,0,0,0,11231,2
CD DP 50,104.5,F,11,P08F11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10221,0,0,0,0,0,956,0,0,0,0,0,0,0.4304,0,0,0,11180,0
CD DP 50,104.5,G,11,P08G11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11191,0,0,0,0,0,785,0,0,0,1,0,0,0.4096,0,0,0,11984,6
CD DP 50,104.5,H,11,P08H11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8316,0,0,0,0,0,945,0,0,1,1,0,0,0.4232,0,0,0,9268,3
CD ER 10,104.5,C,6,P08C06,0,0,0,0,0,0,1,0,47,2,2,0,0,0,1221,0,0,0,0,0,0,0,0,15481,0,0,0,0.4312,0,0,0,16755,1
CD ER 50,104.5,H,6,P08H06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,12601,0,0,0,0.4076,0,0,0,13948,7
CD FP 10,104.5,C,10,P08C10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9146,0,0,0,0,0,0,0,0,1,0,1383,0,0.0172,0,0,0,10532,0
CD FP 10,104.5,D,10,P08D10,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5992,0,0,0,0,0,0,0,0,1,0,263,0,0.014,0,0,0,6259,0
CD FP 10,104.5,E,10,P08E10,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3235,0,0,0,0,0,0,0,0,0,0,149,0,0.0172,0,0,0,3389,0
CD FP 50,104.5,F,10,P08F10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6533,0,0,0,0,0,0,0,0,2,0,239,0,0.5068,0,0,0,6775,0
CD FP 50,104.5,G,10,P08G10,0,0,0,0,1,0,1,0,0,0,1,0,2,0,10278,0,0,0,0,0,1,0,0,0,0,629,0,0.01,0,0,0,10916,3
CD FP 50,104.5,H,10,P08H10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9758,0,0,0,0,0,0,0,0,1,0,775,0,0.3656,0,0,0,10535,0
CD PC 10,104.5,C,7,P08C07,0,0,0,0,0,0,1,0,3,1,1,0,0,0,7665,0,0,0,0,0,0,0,0,2,0,0,0,0.0228,314,0,0,7994,7
CD PC 50,104.5,G,7,P08G07,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5982,0,0,0,0,0,0,0,0,30,0,0,0,0.3312,174,0,0,6193,4
CD CA 50,78,B,11,P11B11,1,1,0,0,1,1,0,0,13,2,0,0,4926,0,3504,0,0,0,0,0,2,0,2,3,18,1,0,0.49,0,1,0,8478,2
CD CA 50,52.5,B,7,P11B07,0,0,0,0,1,0,3,2,10,3,2,0,5091,3,2511,0,0,0,0,4,21,0,2,0,11,1,0,0.5196,0,7,1,7676,3
CD CA 50,67.5,B,9,P11B09,2,0,0,0,0,0,3,0,2,2,1,0,2826,0,4046,0,0,1,0,4,2,0,2,0,16,0,0,0.4904,0,2,0,6911,2
CD CA 50,26.5,B,3,P11B03,1,0,0,0,1,0,2,0,2,4,2,0,3419,0,3267,0,0,0,0,0,3,0,2,1,12,0,0,0.2668,0,1,0,6719,2
CD CA 50,41.5,B,5,P11B05,3,0,0,0,0,0,3,2,2,3,0,0,5683,0,3060,0,0,1,0,1,2,0,4,0,6,0,0,0.4804,0,2,4,8778,2
CD EL 10,67.5,E,10,P11E10,1,0,0,0,0,0,1,0,3,1,0,0,0,0,4168,0,0,0,0,1,0,0,1862,0,2,0,0,0.4608,0,0,0,6041,2
CD EL 10,52.5,E,8,P11E08,1,0,0,0,0,0,0,0,4,0,5,0,1,0,3437,0,0,0,0,3,1,0,2285,0,2,1,0,0.4732,0,0,0,5742,2
CD EL 10,78,E,12,P11E12,1,0,0,0,1,0,0,0,5,2,1,0,1,0,3257,0,0,0,0,0,0,0,2362,0,0,1,0,0.4708,1,0,0,5633,1
CD EL 10,67.5,F,10,P11F10,4,0,0,0,1,0,0,0,7,0,1,0,2,0,5953,0,0,0,0,0,0,0,2476,0,3,0,0,0.4972,0,0,1,8452,3
CD EL 10,41.5,E,6,P11E06,0,0,0,0,1,0,0,1,1,3,3,0,0,0,3655,0,0,0,0,0,5,0,2500,1,1,0,0,0.4276,2,1,1,6178,3
CD EL 10,26.5,E,4,P11E04,0,0,0,0,0,0,0,0,4,0,1,0,4,0,3888,0,2,1,0,0,1,0,2591,3,0,1,0,0.3344,1,7,1,6505,0
CD EL 10,52.5,F,8,P11F08,3,0,0,0,0,0,0,2,5,0,3,0,3,1,4519,0,1,0,0,5,2,0,3037,0,1,0,0,0.462,0,7,0,7592,2
CD EL 10,26.5,F,4,P11F04,0,0,0,0,0,0,1,2,3,2,3,0,2,0,4303,0,1,0,0,1,2,0,3059,1,3,0,0,0.3396,1,0,0,7385,1
CD EL 10,78,F,12,P11F12,0,0,0,0,0,0,1,0,5,0,1,0,2,0,4944,0,0,0,0,1,0,0,3153,0,2,0,0,0.5084,0,0,1,8113,3
CD EL 10,41.5,F,6,P11F06,3,1,0,0,0,0,0,0,1,16,3,0,0,0,3486,0,1,1,0,2,2,0,3302,0,4,0,0,0.4272,1,2,3,6831,3
CD EL 50,78,B,12,P11B12,1,0,0,0,0,0,1,2,11,2,1,0,0,0,893,0,1,0,0,2,2,0,1090,0,15,0,0,0.4972,1,0,1,2030,7
CD EL 50,67.5,C,10,P11C10,4,0,0,0,0,0,0,1,5,1,0,0,0,0,3493,0,0,0,0,2,0,0,1556,0,2,0,0,0.4896,0,3,1,5068,0
CD EL 50,52.5,C,8,P11C08,1,0,0,0,0,0,3,0,5,3,4,0,0,1,3466,0,0,0,0,2,0,0,1847,0,1,0,0,0.4296,0,4,0,5338,1
CD EL 50,67.5,B,10,P11B10,1,0,0,0,1,0,0,0,6,0,1,0,1,0,4797,0,0,1,0,1,0,0,2107,0,9,0,0,0.5152,0,0,0,6927,2
CD EL 50,41.5,C,6,P11C06,2,0,0,0,0,0,1,0,10,4,2,0,0,0,3874,0,0,0,0,4,3,0,2562,0,5,1,0,0.466,2,3,0,6475,2
CD EL 50,26.5,C,4,P11C04,0,0,0,0,0,0,1,0,3,3,0,0,0,0,3532,0,0,0,0,5,1,0,2612,1,3,0,0,0.3592,1,0,0,6162,0
CD EL 50,52.5,A,8,P11A08,2,0,0,0,1,0,0,1,11,3,4,0,3,3,4410,0,1,1,0,4,1,0,2830,0,1,0,0,0.49,1,1,1,7285,6
CD EL 50,26.5,A,4,P11A04,0,0,0,0,1,0,0,2,5,1,0,0,2,0,4245,0,1,1,0,0,2,0,2863,19,2,0,0,0.3448,5,1,0,7153,3
CD EL 50,67.5,A,10,P11A10,2,0,0,0,0,0,0,0,3,0,0,0,1,0,6356,0,1,0,0,0,0,0,2864,0,1,1,0,0.4528,0,0,0,9235,6
CD EL 50,78,C,12,P11C12,3,0,0,0,0,0,0,0,3,1,0,0,0,0,3679,0,1,0,0,1,1,0,3005,0,9,0,0,0.4856,1,2,0,6709,3
CD EL 50,41.5,A,6,P11A06,0,0,0,0,2,0,1,0,1,1,2,1,2,0,4748,0,1,1,0,1,2,0,3122,1,3,0,0,0.4708,0,3,4,7906,10
CD EL 50,41.5,B,6,P11B06,2,0,0,0,0,0,0,1,1,0,5,0,1,0,4327,0,0,2,0,0,5,0,3152,1,6,0,0,0.4872,0,3,1,7517,9
CD EL 50,26.5,B,4,P11B04,3,0,0,0,1,0,0,1,5,3,1,0,0,0,4514,0,0,0,0,0,1,0,3316,1,1,0,0,0.3696,0,1,0,7851,3
CD EL 50,52.5,B,8,P11B08,1,0,0,0,1,0,2,0,1,6,2,0,4,0,4227,0,0,0,0,3,1,0,3701,0,8,1,0,0.5036,0,4,0,7966,4
