organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,tax,samples,relative,reads
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium_longum.json,,,Bifidobacterium_longum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,ERR5883854,0.0034821569132122056,34.82156913212206
Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,469.0,1097.0,874.0,chenry,04/15/16,1437595.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium_pseudolongum.json,Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,kb|g.239965,Bifidobacterium_pseudolongum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,ERR5883854,0.0034821569132122056,34.82156913212206
Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,ERR5883854,0.015186926980906236,151.86926980906236
"Gordonibacter pamelaeae 7-10-1-bT, DSM 19378",Gordonibacter pamelaeae 7-10-1-b (657308.3),Nanaerobe,"Few carbon sources used, fermentation capabilities undescribed",Positive,Commensal,622.0,958.0,795.0,Ines Thiele,04/20/12,471189.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,Gordonibacter_pamelaeae.json,"Gordonibacter pamelaeae 7-10-1-bT, DSM 19378",,Gordonibacter_pamelaeae,species,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,ERR5883854,0.0015068106341348834,15.068106341348834
Bacteroides caccae ATCC 43185,Bacteroides caccae ATCC 43185 (411901.7),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,730.0,1225.0,952.0,Ines Thiele,04/20/12,411901.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,Bacteroides_caccae.json,Bacteroides caccae ATCC 43185,,Bacteroides_caccae,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,ERR5883854,0.006460169472466347,64.60169472466347
Bacteroides cellulosilyticus DSM 14838,Bacteroides cellulosilyticus DSM 14838 (537012.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,853.0,1301.0,1012.0,Ines Thiele,04/20/12,537012.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,Bacteroides_cellulosilyticus.json,Bacteroides cellulosilyticus DSM 14838,,Bacteroides_cellulosilyticus,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,ERR5883854,0.0011237358908299455,11.237358908299454
,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,ERR5883854,0.004872021050369457,48.72021050369457
,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,ERR5883854,0.0012864114667539602,12.864114667539603
Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,ERR5883854,0.011725385636071497,117.25385636071498
Barnesiella intestinihominis YIT 11860,Barnesiella intestinihominis YIT 11860 (742726.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,622.0,2235.0,1282.0,chenry,09/10/14,742726.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella_intestinihominis.json,Barnesiella intestinihominis YIT 11860,kb|g.27473,Barnesiella_intestinihominis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,ERR5883854,0.0010821299255590567,10.821299255590567
Butyricimonas virosa DSM 23226,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,622.0,1221.0,975.0,chenry,04/15/16,1121130.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas virosa,Butyricimonas_virosa.json,Butyricimonas virosa DSM 23226,kb|g.207074,Butyricimonas_virosa,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa,ERR5883854,0.0031980368981191104,31.980368981191102
"Odoribacter splanchnicus 1651/6, DSM 20712",Odoribacter splanchnicus DSM 20712 (709991.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,688.0,1131.0,946.0,Eugen Bauer,08/03/14,709991.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,Odoribacter_splanchnicus.json,"Odoribacter splanchnicus 1651/6, DSM 20712",,Odoribacter_splanchnicus,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,ERR5883854,0.005010332772756465,50.10332772756465
Paraprevotella clara YIT 11840,Paraprevotella clara YIT 11840 (762968.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,743.0,1946.0,1285.0,Laura Kutt,04/17/16,762968.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara,Paraprevotella_clara.json,Paraprevotella clara YIT 11840,kb|g.27713,Paraprevotella_clara,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,ERR5883854,0.012415819762458676,124.15819762458676
"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,ERR5883854,0.28174660093007453,2817.466009300745
Alistipes onderdonkii DSM 19147,Alistipes onderdonkii DSM 19147 (1120974.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,662.0,1101.0,899.0,Laura Kutt,04/17/16,1203611.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes_onderdonkii.json,Alistipes onderdonkii DSM 19147,kb|g.29550,Alistipes_onderdonkii,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,ERR5883854,0.0026522865788901583,26.522865788901584
Alistipes putredinis DSM 17216,Alistipes putredinis DSM 17216 (445970.5),Obligate anaerobe,"Weakly saccharolytic, fermentative",Negative,Commensal,421.0,858.0,721.0,chenry,09/09/14,445970.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes_putredinis.json,Alistipes putredinis DSM 17216,kb|g.1522,Alistipes_putredinis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,ERR5883854,0.060606772401626256,606.0677240162626
Alistipes shahii WAL 8301,Alistipes shahii WAL 8301 (717959.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,668.0,2225.0,1262.0,Laura Kutt,04/17/16,717959.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes_shahii.json,Alistipes shahii WAL 8301,kb|g.3099,Alistipes_shahii,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,ERR5883854,0.019303668571628484,193.03668571628484
Parabacteroides distasonis ATCC 8503,Parabacteroides distasonis ATCC 8503 (435591.13),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,845.0,2519.0,1459.0,Eugen Bauer,08/03/14,435591.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides_distasonis.json,Parabacteroides distasonis ATCC 8503,,Parabacteroides_distasonis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,ERR5883854,0.008959900845363248,89.59900845363248
Parabacteroides goldsteinii dnLKV18,Parabacteroides goldsteinii dnLKV18 (1235789.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,949.0,1345.0,1056.0,chenry,04/15/16,1235789.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii,Parabacteroides_goldsteinii.json,Parabacteroides goldsteinii dnLKV18,kb|g.31352,Parabacteroides_goldsteinii,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,ERR5883854,0.0015742797670065948,15.742797670065947
Parabacteroides merdae ATCC 43184,Parabacteroides merdae ATCC 43184 (411477.4),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,732.0,2474.0,1396.0,Ines Thiele,04/20/12,411477.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,Parabacteroides_merdae.json,Parabacteroides merdae ATCC 43184,,Parabacteroides_merdae,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,ERR5883854,0.009359093214854204,93.59093214854205
Lactobacillus ruminis ATCC 25644,Lactobacillus ruminis ATCC 25644 (525362.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,565.0,1663.0,1123.0,Ines Thiele,06/25/12,525362.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,Ligilactobacillus_ruminis.json,Lactobacillus ruminis ATCC 25644,,Ligilactobacillus_ruminis,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_ruminis,ERR5883854,0.0028546939775052917,28.546939775052916
,,Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,,,,Ines Thiele,,457396.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. 7_2_43FAA,Clostridium_sp__7_2_43FAA.json,,,Clostridium_sp__7_2_43FAA,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4,ERR5883854,0.010277423078941385,102.77423078941385
Eubacterium ramulus ATCC 29099,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,681.0,1129.0,910.0,chenry,09/09/14,1256908.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ramulus,Eubacterium_ramulus.json,Eubacterium ramulus ATCC 29099,kb|g.208433,Eubacterium_ramulus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,ERR5883854,0.0029776377307381874,29.776377307381875
Eubacterium hallii DSM 3353,Eubacterium hallii DSM 3353 (411469.3),Obligate anaerobe,"Saccharolytic, fermentative, acetate and lactate converted to butyrate",Positive,Commensal,686.0,1647.0,1189.0,Ines Thiele,04/20/12,411469.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum_hallii.json,Eubacterium hallii DSM 3353,,Anaerobutyricum_hallii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii,ERR5883854,0.009313738964423777,93.13738964423777
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia obeum,Blautia_obeum.json,,kb|g.1354,Blautia_obeum,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,ERR5883854,0.005078926391176038,50.78926391176038
Blautia wexlerae DSM 19850,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,855.0,1249.0,1006.0,Laura Kutt,04/18/16,1121115.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia wexlerae,Blautia_wexlerae.json,Blautia wexlerae DSM 19850,kb|g.207068,Blautia_wexlerae,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,ERR5883854,0.004991216518442813,49.912165184428126
Butyrivibrio crossotus DSM 2876,Butyrivibrio crossotus DSM 2876 (511680.4),Obligate anaerobe,"Saccharolytic, fermentative",Structurally positive but stains negative,Commensal,530.0,886.0,775.0,Ines Thiele,04/20/12,511680.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,Butyrivibrio_crossotus.json,Butyrivibrio crossotus DSM 2876,,Butyrivibrio_crossotus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus,ERR5883854,0.0425475345029649,425.47534502964896
Coprococcus catus GD/7,Coprococcus catus GD/7 (717962.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,843.0,1783.0,1276.0,Laura Kutt,04/18/16,717962.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus catus,Coprococcus_catus.json,Coprococcus catus GD/7,kb|g.3102,Coprococcus_catus,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,ERR5883854,0.00981113640509467,98.11136405094669
Coprococcus comes ATCC 27758,Coprococcus comes ATCC 27758 (470146.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,735.0,1074.0,879.0,Ines Thiele,04/20/12,470146.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,Coprococcus_comes.json,Coprococcus comes ATCC 27758,,Coprococcus_comes,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,ERR5883854,0.006624719190970132,66.24719190970133
Dorea formicigenerans ATCC 27755,Dorea formicigenerans ATCC 27755 (411461.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,762.0,2072.0,1356.0,Laura Kutt,04/18/16,411461.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea formicigenerans,Dorea_formicigenerans.json,Dorea formicigenerans ATCC 27755,kb|g.1356,Dorea_formicigenerans,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,ERR5883854,0.004666240195110738,46.66240195110738
Dorea longicatena DSM 13814,Dorea longicatena DSM 13814 (411462.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,697.0,1536.0,1131.0,Ines Thiele,06/29/12,411462.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea_longicatena.json,Dorea longicatena DSM 13814,,Dorea_longicatena,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,ERR5883854,0.010379001606764904,103.79001606764905
Eubacterium eligens ATCC 27750,Eubacterium eligens ATCC 27750 (515620.4),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,658.0,1175.0,960.0,Laura Kutt,04/18/16,515620.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira eligens,Lachnospira_eligens.json,Eubacterium eligens ATCC 27750,kb|g.1895,Lachnospira_eligens,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_eligens,ERR5883854,0.013180469935004737,131.80469935004737
Ruminococcus lactaris ATCC 29176,Ruminococcus lactaris ATCC 29176 (471875.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,608.0,2046.0,1255.0,Ines Thiele,04/20/12,471875.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,_Ruminococcus__lactaris.json,Ruminococcus lactaris ATCC 29176,,_Ruminococcus__lactaris,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_lactaris,ERR5883854,0.01440840815326988,144.0840815326988
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,_Ruminococcus__torques.json,,,_Ruminococcus__torques,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques,ERR5883854,0.006939949972887405,69.39949972887405
Roseburia inulinivorans DSM 16841,Roseburia inulinivorans DSM 16841 (622312.4),Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Negative,Commensal,681.0,2063.0,1304.0,Ines Thiele,06/25/12,622312.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,Roseburia_inulinivorans.json,Roseburia inulinivorans DSM 16841,,Roseburia_inulinivorans,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,ERR5883854,0.0024555016080143334,24.555016080143336
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,ERR5883854,0.10000000000000002,1000.0000000000002
,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,ERR5883854,0.13978779708283462,1397.8779708283462
Ruminococcus bicirculans 80/3,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,532.0,1032.0,816.0,Eugen Bauer,06/01/14,1160721.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bicirculans,Ruminococcus_bicirculans.json,Ruminococcus bicirculans 80/3,,Ruminococcus_bicirculans,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans,ERR5883854,0.003633587633657602,36.33587633657602
Ruminococcus bromii L2-63,Ruminococcus bromii L2-63 (657321.5),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,480.0,1078.0,863.0,Ines Thiele,04/20/12,657321.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bromii,Ruminococcus_bromii.json,Ruminococcus bromii L2-63,,Ruminococcus_bromii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,ERR5883854,0.0045380488426544855,45.38048842654486
Eubacterium biforme DSM 3989,Eubacterium biforme DSM 3989 (518637.5),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,547.0,1585.0,1100.0,Ines Thiele,09/06/12,518637.0,Kbase,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella biformis,Holdemanella_biformis.json,Eubacterium biforme DSM 3989,,Holdemanella_biformis,species,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis,ERR5883854,0.0019524817396041312,19.524817396041314
Parasutterella excrementihominis YIT 11859,Parasutterella excrementihominis YIT 11859 (762966.3),Facultative anaerobe,"Fermentative, respiratory",Negative,,651.0,1080.0,912.0,Laura Kutt,04/19/16,762966.0,ModelSEED,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis,Parasutterella_excrementihominis.json,Parasutterella excrementihominis YIT 11859,kb|g.3277,Parasutterella_excrementihominis,species,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,ERR5883854,0.003121197052348551,31.21197052348551
Sutterella wadsworthensis 3_1_45B,Sutterella wadsworthensis 3_1_45B (742821.3),Microaerophile/ anaerobe,"Asaccharolytic, nonfermentative",Negative,Pathogen,613.0,1019.0,840.0,Ines Thiele,06/29/12,742821.0,Kbase,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,Sutterella_wadsworthensis.json,Sutterella wadsworthensis 3_1_45B,,Sutterella_wadsworthensis,species,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis,ERR5883854,0.005559081720113049,55.590817201130484
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila ATCC BAA-835 (349741.6),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,643.0,2274.0,1275.0,Eugen Bauer,08/03/14,349741.0,Kbase,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia_muciniphila.json,Akkermansia muciniphila ATCC BAA-835,,Akkermansia_muciniphila,species,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,ERR5883854,0.016362014378421875,163.62014378421875
Bacteroides fluxus YIT 12057,Bacteroides fluxus YIT 12057 (763034.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,875.0,2421.0,1415.0,chenry,04/15/16,763034.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fluxus,Bacteroides_fluxus.json,Bacteroides fluxus YIT 12057,kb|g.3281,Bacteroides_fluxus,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus,ERR5883854,0.002596437130013019,25.96437130013019
Ruminococcus champanellensis 18P13,Ruminococcus sp. 18P13 (213810.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,486.0,882.0,765.0,Ines Thiele,06/25/12,213810.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus champanellensis,Ruminococcus_champanellensis.json,Ruminococcus champanellensis 18P13,,Ruminococcus_champanellensis,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis,ERR5883854,0.016738717036955595,167.38717036955595
